artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Moloko,The Time Is Now,318280,FALSE,2000,54,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,210786,FALSE,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
DMX,Party Up,268866,TRUE,1999,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop"
Debelah Morgan,Dance with Me,220106,FALSE,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B"
Madonna,Music,225973,FALSE,2000,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
Ruff Endz,No More,242560,FALSE,2000,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,R&B
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
Montell Jordan,Get It On Tonite,276266,FALSE,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61E-05,0.0817,0.868,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',283066,TRUE,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
LeAnn Rimes,I Need You,229826,FALSE,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705,"pop, country"
Avant,Separated,255600,FALSE,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241,"pop, R&B"
Enrique Iglesias,Be With You,219360,FALSE,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin"
Toni Braxton,He Wasn't Man Enough,261933,FALSE,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14E-05,0.326,0.766,88.009,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,FALSE,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0,0.265,0.934,72.016,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,222293,TRUE,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,hip hop
Missy Elliott,Hot Boyz,215466,TRUE,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSE,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop
Samantha Mumba,Gotta Tell You,201946,FALSE,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,FALSE,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79E-05,0.0725,0.348,98,"pop, R&B"
Mary Mary,Shackles (Praise You),198346,FALSE,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,R&B
Next,Wifey,243666,FALSE,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,265026,FALSE,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
Ricky Martin,She Bangs - English Version,280626,FALSE,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51E-06,0.373,0.858,143.866,"pop, latin"
Jagged Edge,He Can't Love U,244053,FALSE,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B"
Sisqo,Incomplete,274226,TRUE,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,TRUE,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31E-06,0.0352,0.801,98.631,hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,FALSE,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B"
Baha Men,Who Let The Dogs Out,198400,FALSE,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,TRUE,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,"pop, R&B"
LeAnn Rimes,Can't Fight The Moonlight,215506,FALSE,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country"
Oasis,Go Let It Out,278666,FALSE,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51E-05,0.56,0.628,84.192,"Folk/Acoustic, rock"
DJ Ötzi,Hey Baby (Radio Mix),219240,FALSE,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,298960,FALSE,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,FALSE,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B"
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,273706,FALSE,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,pop
Madonna,American Pie,273533,FALSE,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,pop
Red Hot Chili Peppers,Otherside,255373,FALSE,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
Sammie,I Like It,251040,FALSE,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B"
Craig David,7 Days,235133,FALSE,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),261973,FALSE,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
Kandi,Don't Think I'm Not,243533,FALSE,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B"
P!nk,There You Go,202800,FALSE,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop
Vengaboys,Shalala Lala,214819,FALSE,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,FALSE,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock"
Madison Avenue,Don't Call Me Baby,228140,FALSE,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",230200,FALSE,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
Céline Dion,That's the Way It Is,241373,FALSE,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,pop
3 Doors Down,Kryptonite,233933,FALSE,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,"pop, rock, metal"
Carl Thomas,I Wish,226760,FALSE,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824,"pop, R&B"
Mystikal,Shake Ya Ass,256973,TRUE,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),236866,FALSE,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
Donell Jones,Where I Wanna Be,253626,FALSE,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,FALSE,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03,pop
Westlife,My Love,231760,FALSE,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop
All Saints,Pure Shores,268746,FALSE,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,FALSE,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24E-06,0.0584,0.882,165.09,pop
Erykah Badu,Bag Lady,348893,FALSE,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,FALSE,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,FALSE,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,"pop, rock"
Gabrielle,Rise,219093,FALSE,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,FALSE,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop
Creed,With Arms Wide Open,274800,FALSE,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,FALSE,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,FALSE,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,"pop, R&B"
Wheatus,Teenage Dirtbag,241666,TRUE,1999,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSE,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,pop
Creed,Higher,316733,FALSE,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
Britney Spears,Lucky,206226,FALSE,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
